Index,True Label,Predicted Label
201,anger,anger
202,sympathy,sympathy
203,love,joy
204,none,none
205,joy,joy
206,sadness,sympathy
207,sadness,none
208,none,none
209,surprise,sadness
210,joy,sadness
211,surprise,surprise
212,anger,anger
213,joy,joy
214,joy,love
215,none,none
216,sympathy,sympathy
217,love,love
218,joy,none
219,fear,fear
220,sympathy,sympathy
221,joy,joy
222,joy,none
223,sadness,sympathy
224,anger,anger
225,love,love
226,joy,joy
227,none,none
228,anger,anger
229,none,none
230,love,love
231,surprise,surprise
232,none,surprise
233,surprise,surprise
234,sympathy,sympathy
235,anger,anger
236,fear,sadness
237,sympathy,joy
238,surprise,surprise
239,anger,sadness
240,joy,joy
241,sympathy,sympathy
242,fear,fear
243,love,love
244,sadness,sadness
245,joy,none
246,joy,joy
247,anger,joy
248,surprise,surprise
249,anger,anger
250,love,none
251,joy,joy
252,fear,fear
253,sympathy,sympathy
254,sadness,none
255,joy,joy
256,surprise,none
257,sadness,sadness
258,anger,anger
259,none,none
260,joy,none
261,fear,fear
262,surprise,surprise
263,joy,love
264,joy,joy
265,none,none
266,sympathy,sympathy
267,joy,anger
268,anger,anger
269,none,none
270,sadness,sadness
271,love,love
272,sympathy,sympathy
273,sympathy,sympathy
274,fear,fear
275,surprise,surprise
276,love,love
277,love,love
278,love,love
279,surprise,surprise
280,sadness,sadness
281,love,sadness
282,love,love
283,sadness,anger
284,love,love
285,surprise,sympathy
286,anger,anger
287,fear,fear
288,sadness,sadness
289,anger,anger
290,none,none
291,none,none
292,anger,anger
293,love,love
294,love,joy
295,none,none
296,none,none
297,fear,fear
298,love,love
299,sadness,sadness
300,sympathy,sympathy
301,love,love
302,sympathy,sympathy
303,joy,joy
304,fear,fear
305,sadness,surprise
306,fear,fear
307,joy,joy
308,surprise,surprise
309,surprise,none
310,none,none
311,surprise,surprise
312,surprise,none
313,surprise,surprise
314,fear,fear
315,none,none
316,none,none
317,love,joy
318,sympathy,sympathy
319,surprise,fear
320,love,sadness
321,anger,none
322,love,joy
323,anger,sadness
324,none,none
325,none,joy
326,anger,anger
327,joy,joy
328,love,joy
329,surprise,surprise
330,sadness,sadness
331,joy,joy
332,joy,none
333,sadness,sadness
334,joy,joy
335,joy,love
336,anger,anger
337,love,love
338,sadness,none
339,joy,anger
340,sadness,sadness
341,fear,fear
342,sadness,sadness
343,joy,joy
344,sympathy,sympathy
345,none,none
346,sadness,sadness
347,none,none
348,sadness,love
349,surprise,surprise
350,sadness,none
351,surprise,surprise
352,surprise,surprise
353,joy,joy
354,surprise,joy
355,none,none
356,fear,fear
357,sympathy,sadness
358,none,none
359,none,none
360,sympathy,sympathy
361,anger,anger
362,surprise,surprise
363,joy,sadness
364,surprise,surprise
365,sadness,sadness
366,joy,joy
367,none,none
368,sadness,sadness
369,joy,joy
370,sadness,sadness
371,joy,joy
372,anger,anger
373,surprise,surprise
374,none,none
375,sympathy,sympathy
376,anger,none
377,none,none
378,joy,joy
379,anger,joy
380,sympathy,sympathy
381,surprise,surprise
382,joy,joy
383,love,love
384,love,love
385,surprise,surprise
386,joy,joy
387,sadness,sadness
388,love,joy
389,none,none
390,love,love
391,surprise,sadness
392,surprise,surprise
393,none,none
394,anger,anger
395,sympathy,sympathy
396,sympathy,sympathy
397,sadness,none
398,love,joy
399,anger,surprise
400,joy,love
401,sadness,sadness
402,joy,joy
403,love,love
404,sympathy,love
405,fear,fear
406,anger,anger
407,anger,anger
408,sympathy,sympathy
409,surprise,surprise
410,joy,joy
411,love,love
412,surprise,surprise
413,love,love
414,anger,anger
415,joy,joy
416,love,love
417,surprise,none
418,none,none
419,surprise,anger
420,surprise,fear
421,anger,joy
422,fear,fear
423,love,love
424,fear,none
425,fear,fear
426,fear,fear
427,anger,anger
428,sympathy,sympathy
429,sadness,anger
430,sadness,sadness
431,none,none
432,sympathy,sympathy
433,fear,fear
434,joy,sadness
435,love,love
436,joy,joy
437,love,love
438,anger,anger
439,joy,joy
440,none,none
441,joy,joy
442,joy,joy
443,love,joy
444,sadness,anger
445,joy,joy
446,none,none
447,anger,anger
448,joy,joy
449,joy,none
450,joy,joy
451,fear,fear
452,anger,anger
453,anger,anger
454,fear,fear
455,joy,joy
456,sadness,love
457,fear,fear
458,fear,fear
459,love,love
460,none,none
461,joy,none
462,sadness,anger
463,surprise,surprise
464,sadness,anger
465,sadness,sadness
466,love,joy
467,love,love
468,love,love
469,surprise,none
470,none,surprise
471,love,love
472,love,love
473,surprise,surprise
474,joy,joy
475,none,joy
476,joy,joy
477,joy,joy
478,fear,fear
479,surprise,surprise
480,none,none
481,fear,fear
482,fear,fear
483,fear,love
484,love,surprise
485,sympathy,sympathy
486,love,love
487,joy,joy
488,sadness,anger
489,joy,joy
490,anger,none
491,joy,anger
492,love,sadness
493,sympathy,sadness
494,joy,anger
495,sympathy,sympathy
496,surprise,none
497,fear,fear
498,none,none
499,sympathy,sympathy
500,fear,sadness
501,fear,fear
502,surprise,sadness
503,sympathy,sympathy
504,sadness,sadness
505,sadness,sadness
506,anger,anger
507,none,none
508,sympathy,surprise
509,anger,anger
510,surprise,surprise
511,sympathy,sympathy
512,fear,fear
513,love,love
514,sadness,sadness
515,love,love
516,none,none
517,sadness,sadness
518,anger,anger
519,fear,fear
520,sympathy,sympathy
521,love,love
522,joy,joy
523,sadness,none
524,none,none
525,joy,none
526,joy,fear
527,surprise,none
528,joy,joy
529,love,love
530,fear,fear
531,none,none
532,none,none
533,anger,none
534,joy,none
535,sympathy,sympathy
536,surprise,surprise
537,fear,fear
538,love,love
539,fear,fear
540,sadness,sadness
541,sympathy,sympathy
542,surprise,surprise
543,fear,fear
544,none,none
545,sympathy,sympathy
546,anger,anger
547,none,surprise
548,fear,anger
549,fear,fear
550,love,love
551,anger,anger
552,sadness,fear
553,love,love
554,anger,anger
555,sympathy,sympathy
556,love,anger
557,surprise,sadness
558,anger,anger
559,love,love
560,fear,fear
561,love,joy
562,sadness,none
563,sympathy,sympathy
564,sadness,sadness
565,joy,none
566,surprise,anger
567,none,none
568,joy,love
569,none,none
570,fear,fear
571,joy,joy
572,fear,fear
573,anger,surprise
574,none,none
575,anger,anger
576,love,love
577,sympathy,sympathy
578,fear,fear
579,sadness,none
580,love,love
581,joy,joy
582,none,none
583,sadness,sadness
584,joy,none
585,joy,joy
586,sympathy,sympathy
587,anger,anger
588,love,joy
589,sympathy,sympathy
590,joy,joy
591,sadness,anger
592,sympathy,anger
593,joy,joy
594,love,joy
595,love,love
596,none,none
597,sympathy,anger
598,sympathy,sympathy
599,sympathy,sympathy
600,anger,anger
601,sympathy,sympathy
602,sympathy,sympathy
603,fear,fear
604,love,love
605,none,sadness
606,surprise,joy
607,sadness,none
608,love,love
609,none,none
610,love,love
611,love,love
612,fear,joy
613,anger,sadness
614,fear,fear
615,sympathy,sympathy
616,none,none
617,love,love
618,surprise,anger
619,anger,anger
620,fear,fear
621,none,none
622,joy,joy
623,anger,anger
624,sympathy,sympathy
625,none,sadness
626,love,love
627,fear,fear
628,sympathy,sympathy
629,none,none
630,love,love
631,none,none
632,love,love
633,anger,joy
634,sympathy,sympathy
635,anger,anger
636,none,none
637,joy,joy
638,surprise,surprise
639,none,none
640,anger,anger
641,sadness,sadness
642,joy,joy
643,love,love
644,anger,anger
645,joy,joy
646,joy,joy
647,love,love
648,fear,fear
649,fear,fear
650,anger,anger
651,joy,anger
652,joy,none
653,anger,anger
654,anger,anger
655,anger,anger
656,surprise,anger
657,love,love
658,fear,fear
659,sympathy,sympathy
660,anger,anger
661,joy,joy
662,joy,joy
663,none,none
664,anger,anger
665,sadness,sadness
666,anger,anger
667,joy,joy
668,joy,anger
669,anger,anger
670,surprise,surprise
671,love,love
672,fear,fear
673,none,surprise
674,none,none
675,sympathy,sympathy
676,anger,sadness
677,sympathy,sympathy
678,fear,fear
679,anger,anger
680,fear,fear
681,fear,fear
682,none,none
683,joy,none
684,anger,anger
685,sympathy,sympathy
686,sadness,sadness
687,none,sadness
688,sympathy,sympathy
689,joy,love
690,fear,fear
691,love,love
692,anger,anger
693,sympathy,sympathy
694,anger,anger
695,anger,anger
696,surprise,surprise
697,anger,anger
698,anger,anger
699,sympathy,anger
700,none,none
701,sadness,joy
702,fear,fear
703,none,none
704,fear,fear
705,sympathy,sympathy
706,anger,anger
707,anger,none
708,love,love
709,anger,anger
710,none,none
711,none,none
712,none,none
713,sadness,sympathy
714,joy,none
715,joy,none
716,love,love
717,none,none
718,joy,joy
719,none,none
720,fear,sadness
721,none,joy
722,sympathy,sympathy
723,fear,anger
724,surprise,surprise
725,sympathy,sympathy
726,joy,joy
727,sadness,none
728,sadness,sadness
729,sadness,sadness
730,sympathy,sympathy
731,fear,fear
732,sympathy,sympathy
733,anger,joy
734,joy,joy
735,anger,anger
736,none,none
737,anger,anger
738,sympathy,sympathy
739,none,none
740,none,none
741,sadness,surprise
742,sadness,none
743,fear,fear
744,anger,anger
745,sadness,sadness
746,none,none
747,sympathy,sympathy
748,none,none
749,fear,joy
750,surprise,surprise
751,joy,surprise
752,fear,joy
753,sadness,sadness
754,joy,joy
755,sympathy,sympathy
756,anger,anger
757,joy,sympathy
758,anger,anger
759,anger,anger
760,fear,fear
761,none,none
762,sympathy,sympathy
763,anger,anger
764,none,none
765,surprise,surprise
766,sympathy,sympathy
767,fear,joy
768,love,fear
769,surprise,surprise
770,sympathy,sympathy
771,fear,fear
772,joy,joy
773,joy,joy
774,sympathy,sympathy
775,sadness,sadness
776,fear,fear
777,fear,fear
778,sadness,sadness
779,sadness,sadness
780,none,surprise
781,love,love
782,surprise,anger
783,none,none
784,joy,joy
785,fear,fear
786,none,none
787,joy,joy
788,none,none
789,sadness,joy
790,joy,joy
791,surprise,surprise
792,anger,anger
793,fear,fear
794,joy,none
795,anger,anger
796,love,love
797,none,none
798,none,none
799,sadness,sadness
800,none,none
801,none,joy
802,none,none
803,surprise,anger
804,none,none
805,joy,joy
806,fear,fear
807,love,love
808,joy,anger
809,surprise,surprise
810,love,love
811,surprise,surprise
812,none,none
813,anger,none
814,fear,fear
815,none,none
816,surprise,surprise
817,joy,joy
818,sympathy,sympathy
819,anger,anger
820,sadness,none
821,sadness,sadness
822,sadness,none
823,love,love
824,love,love
825,fear,fear
826,sadness,sadness
827,none,none
828,anger,anger
829,sadness,anger
830,love,love
831,sadness,sadness
832,sympathy,sympathy
833,surprise,none
834,sympathy,sympathy
835,surprise,surprise
836,anger,anger
837,anger,anger
838,love,love
839,surprise,surprise
840,anger,anger
841,joy,joy
842,sadness,sadness
843,none,none
844,joy,joy
845,fear,fear
846,anger,anger
847,sadness,sadness
848,surprise,none
849,sadness,none
850,sympathy,sympathy
851,none,none
852,none,none
853,love,love
854,anger,anger
855,fear,sadness
856,none,none
857,sadness,sadness
858,anger,anger
859,sadness,fear
860,love,love
861,sympathy,sympathy
862,sadness,none
863,sadness,fear
864,sadness,sadness
865,anger,anger
866,none,none
867,surprise,none
868,none,none
869,sympathy,sympathy
870,joy,joy
871,love,love
872,love,love
873,fear,fear
874,none,none
875,fear,fear
876,anger,anger
877,joy,joy
878,none,none
879,anger,anger
880,sympathy,sympathy
881,anger,anger
882,fear,fear
883,anger,none
884,surprise,none
885,love,love
886,joy,joy
887,sympathy,sympathy
888,sadness,joy
889,sympathy,sympathy
890,sadness,sadness
891,joy,love
892,none,none
893,sympathy,sympathy
894,anger,anger
895,love,love
896,sympathy,sympathy
897,love,love
898,love,love
899,love,joy
900,fear,fear
901,anger,anger
902,surprise,surprise
903,joy,joy
904,none,none
905,none,none
906,none,none
907,sadness,sadness
908,anger,anger
909,fear,fear
910,fear,fear
911,fear,fear
912,love,joy
913,joy,joy
914,joy,joy
915,sympathy,sympathy
916,surprise,surprise
917,none,joy
918,none,none
919,joy,anger
920,love,love
921,sadness,fear
922,none,anger
923,none,none
924,fear,fear
925,none,none
926,none,none
927,none,none
928,sadness,sadness
929,fear,love
930,fear,fear
931,fear,fear
932,love,joy
933,anger,joy
934,none,none
935,none,none
936,none,none
937,sympathy,sympathy
938,sadness,sympathy
939,none,none
940,sympathy,sympathy
941,love,love
942,sadness,none
943,love,love
944,joy,joy
945,joy,love
946,sympathy,anger
947,none,none
948,fear,sadness
949,none,none
950,joy,joy
951,love,love
952,love,sympathy
953,anger,none
954,joy,none
955,fear,fear
956,fear,sadness
957,surprise,surprise
958,sympathy,joy
959,anger,anger
960,love,love
961,love,love
962,love,love
963,love,joy
964,anger,fear
965,sadness,sympathy
966,none,none
967,anger,anger
968,sadness,sadness
969,joy,joy
970,surprise,surprise
971,anger,anger
972,anger,anger
973,fear,fear
974,joy,none
975,love,love
976,fear,fear
977,anger,anger
978,none,none
979,anger,anger
980,love,joy
981,anger,anger
982,love,love
983,sympathy,sympathy
984,surprise,surprise
985,love,love
986,surprise,surprise
987,love,love
988,sadness,love
989,love,love
990,none,none
991,none,none
992,anger,surprise
993,joy,joy
994,surprise,surprise
995,joy,joy
996,sadness,sadness
997,joy,joy
998,love,love
999,surprise,anger
1000,surprise,surprise
1001,anger,anger
1002,sadness,sadness
1003,sadness,surprise
1004,love,love
1005,fear,fear
1006,love,love
1007,sympathy,sympathy
1008,none,none
1009,fear,fear
1010,anger,anger
1011,joy,joy
1012,fear,fear
1013,none,none
1014,surprise,none
1015,love,joy
1016,sadness,sadness
1017,joy,none
1018,sadness,sympathy
1019,love,love
1020,love,love
1021,none,none
1022,fear,fear
1023,sadness,sadness
1024,none,none
1025,fear,fear
1026,sympathy,anger
1027,fear,fear
1028,sadness,sadness
1029,none,none
1030,joy,joy
1031,fear,fear
1032,joy,joy
1033,love,love
1034,fear,fear
1035,surprise,fear
1036,anger,anger
1037,none,sadness
1038,none,joy
1039,anger,anger
1040,surprise,sadness
1041,none,none
1042,none,none
1043,fear,fear
1044,surprise,surprise
1045,fear,fear
1046,joy,joy
1047,anger,anger
1048,love,love
1049,sadness,sadness
1050,surprise,surprise
1051,none,none
1052,fear,fear
1053,sympathy,sympathy
1054,love,sympathy
1055,sadness,love
1056,anger,anger
1057,sympathy,sympathy
1058,love,love
1059,none,none
1060,none,none
1061,none,none
1062,love,love
1063,none,none
1064,fear,fear
1065,sadness,love
1066,none,none
1067,joy,none
1068,love,love
1069,none,none
1070,sadness,surprise
1071,love,love
1072,fear,fear
1073,sadness,sadness
1074,fear,fear
1075,surprise,none
1076,anger,sadness
1077,joy,joy
1078,anger,anger
1079,sadness,none
1080,joy,anger
1081,sadness,sadness
1082,anger,anger
1083,none,sadness
1084,surprise,surprise
1085,sympathy,sympathy
1086,sympathy,sympathy
1087,surprise,anger
1088,love,love
1089,anger,anger
1090,fear,fear
1091,sadness,sadness
1092,none,none
1093,anger,anger
1094,none,none
1095,joy,love
1096,anger,anger
1097,love,love
1098,surprise,surprise
1099,sympathy,sympathy
1100,surprise,surprise
1101,anger,anger
1102,fear,fear
1103,surprise,surprise
1104,none,none
1105,love,love
1106,surprise,surprise
1107,sadness,sadness
1108,fear,fear
1109,sympathy,sympathy
1110,surprise,anger
1111,fear,fear
1112,none,none
1113,none,none
1114,sympathy,anger
1115,fear,fear
1116,love,love
1117,anger,anger
1118,none,none
1119,none,none
1120,sadness,sadness
1121,anger,anger
1122,none,none
1123,sadness,love
1124,fear,fear
1125,sympathy,sympathy
1126,surprise,surprise
1127,surprise,surprise
1128,sadness,anger
1129,sadness,anger
1130,sadness,love
1131,sadness,none
1132,sadness,sadness
1133,surprise,surprise
1134,anger,anger
1135,love,love
1136,none,none
1137,anger,sadness
1138,love,joy
1139,anger,anger
1140,fear,fear
1141,surprise,joy
1142,fear,fear
1143,fear,fear
1144,joy,joy
1145,none,none
1146,none,none
1147,none,none
1148,fear,fear
1149,joy,joy
1150,love,love
1151,sympathy,sympathy
1152,joy,love
1153,love,love
1154,sadness,sadness
1155,surprise,surprise
1156,fear,fear
1157,sympathy,sympathy
1158,surprise,none
1159,sadness,fear
1160,love,love
1161,sadness,sadness
1162,anger,anger
1163,sadness,sadness
1164,sympathy,sympathy
1165,joy,joy
1166,none,none
1167,joy,joy
1168,love,love
1169,sadness,sadness
1170,surprise,sympathy
1171,love,joy
1172,surprise,anger
1173,joy,joy
1174,sympathy,sympathy
1175,sympathy,sympathy
1176,sympathy,sympathy
1177,none,none
1178,sympathy,sympathy
1179,joy,joy
1180,sadness,none
1181,love,love
1182,sympathy,sympathy
1183,joy,joy
1184,sympathy,sympathy
1185,sadness,sadness
1186,sympathy,sympathy
1187,love,love
1188,fear,fear
1189,sympathy,sympathy
1190,love,love
1191,joy,joy
1192,love,love
1193,none,surprise
1194,joy,sympathy
1195,anger,anger
1196,joy,none
1197,none,none
1198,surprise,surprise
1199,fear,fear
1200,love,love
1201,love,anger
1202,sadness,sadness
1203,surprise,surprise
1204,sadness,sadness
1205,none,none
1206,sadness,sadness
1207,sympathy,sympathy
1208,sadness,sadness
1209,anger,anger
1210,anger,anger
1211,anger,sadness
1212,anger,anger
1213,joy,joy
1214,love,love
1215,sadness,sadness
1216,anger,anger
1217,joy,anger
1218,surprise,surprise
1219,anger,anger
1220,surprise,joy
1221,joy,love
1222,love,love
1223,anger,anger
1224,none,none
1225,sympathy,anger
1226,fear,fear
1227,anger,anger
1228,joy,love
1229,fear,fear
1230,sympathy,sympathy
1231,joy,joy
1232,fear,fear
1233,sadness,sadness
1234,sadness,sadness
1235,fear,fear
1236,joy,joy
1237,sadness,surprise
1238,sadness,sadness
1239,anger,anger
1240,sadness,sadness
1241,sympathy,sadness
1242,anger,anger
1243,anger,anger
1244,surprise,surprise
1245,none,none
1246,anger,surprise
1247,sympathy,sympathy
1248,sadness,sympathy
1249,anger,anger
1250,joy,joy
1251,sadness,none
1252,sympathy,joy
1253,sympathy,sympathy
1254,sadness,sadness
1255,sadness,none
1256,joy,joy
1257,sadness,sadness
1258,sympathy,sympathy
1259,joy,sadness
1260,sympathy,sympathy
1261,anger,anger
1262,love,love
1263,sadness,sadness
1264,surprise,surprise
1265,love,love
1266,sadness,sadness
1267,surprise,anger
1268,sympathy,sympathy
1269,none,none
1270,fear,fear
1271,fear,fear
1272,anger,love
1273,sadness,sadness
1274,sympathy,anger
1275,sympathy,sympathy
1276,anger,anger
1277,fear,fear
1278,fear,fear
1279,anger,anger
1280,anger,sadness
1281,none,none
1282,sympathy,sympathy
1283,fear,fear
1284,sympathy,sympathy
1285,sympathy,sympathy
1286,fear,fear
1287,joy,joy
1288,anger,anger
1289,fear,fear
1290,fear,fear
1291,anger,anger
1292,anger,anger
1293,anger,anger
1294,sadness,love
1295,fear,fear
1296,none,none
1297,fear,fear
1298,sadness,joy
1299,love,sympathy
1300,none,none
1301,love,love
1302,joy,sadness
1303,fear,fear
1304,joy,none
1305,joy,joy
1306,fear,fear
1307,anger,anger
1308,none,none
1309,anger,love
1310,love,joy
1311,joy,joy
1312,surprise,surprise
1313,fear,fear
1314,joy,joy
1315,none,none
1316,fear,fear
1317,none,anger
1318,none,none
1319,surprise,surprise
1320,fear,fear
1321,sympathy,sympathy
1322,none,none
1323,surprise,joy
1324,surprise,none
1325,sadness,sadness
1326,none,none
1327,sympathy,sympathy
1328,love,love
1329,joy,sympathy
1330,fear,fear
1331,love,love
1332,surprise,none
1333,sadness,none
1334,sympathy,sympathy
1335,none,none
1336,sadness,sadness
1337,none,none
1338,love,love
1339,love,love
1340,sadness,sadness
1341,surprise,surprise
1342,joy,joy
1343,none,none
1344,none,none
1345,fear,fear
1346,anger,fear
1347,love,love
1348,surprise,joy
1349,sympathy,anger
1350,sadness,sadness
1351,anger,anger
1352,sympathy,sympathy
1353,sadness,sadness
1354,anger,anger
1355,joy,love
1356,none,none
1357,none,joy
1358,fear,fear
1359,sympathy,sympathy
1360,none,none
1361,fear,fear
1362,fear,fear
1363,anger,anger
1364,fear,fear
1365,anger,none
1366,fear,love
1367,sympathy,sympathy
1368,surprise,surprise
1369,joy,love
1370,sadness,sadness
1371,fear,fear
1372,none,none
1373,love,love
1374,sadness,sadness
1375,fear,fear
1376,anger,anger
1377,surprise,anger
1378,joy,none
1379,anger,anger
1380,fear,fear
1381,sadness,none
1382,anger,anger
1383,sadness,sadness
1384,none,none
1385,joy,none
1386,joy,none
1387,anger,anger
1388,surprise,sadness
1389,none,none
1390,none,none
1391,anger,anger
1392,surprise,surprise
1393,sadness,sadness
1394,fear,sympathy
1395,surprise,joy
1396,none,none
1397,joy,joy
1398,none,none
1399,surprise,none
1400,sadness,sympathy
1401,sympathy,joy
1402,joy,joy
1403,surprise,none
1404,sympathy,sympathy
1405,surprise,surprise
1406,none,none
1407,surprise,surprise
1408,joy,anger
1409,surprise,surprise
1410,sympathy,sympathy
1411,none,none
1412,surprise,surprise
1413,love,love
1414,fear,sadness
1415,love,love
1416,surprise,sadness
1417,joy,none
1418,sadness,none
1419,sympathy,sympathy
1420,none,none
1421,surprise,anger
1422,sadness,love
1423,anger,anger
1424,surprise,surprise
1425,sympathy,sympathy
1426,fear,fear
1427,none,none
1428,joy,none
1429,fear,fear
1430,love,joy
1431,fear,fear
1432,anger,anger
1433,fear,fear
1434,none,none
1435,joy,joy
1436,sadness,sadness
1437,love,love
1438,none,none
1439,love,love
1440,surprise,surprise
1441,sadness,none
1442,surprise,none
1443,surprise,surprise
1444,anger,sadness
1445,none,none
1446,sympathy,sympathy
1447,anger,anger
1448,love,love
1449,sadness,sadness
1450,fear,fear
1451,anger,anger
1452,fear,fear
1453,anger,none
1454,none,surprise
1455,love,love
1456,joy,joy
1457,love,love
1458,love,love
1459,surprise,sympathy
1460,surprise,surprise
1461,sympathy,sympathy
1462,surprise,surprise
1463,sympathy,anger
1464,joy,anger
1465,surprise,none
1466,anger,anger
1467,surprise,surprise
1468,sympathy,sympathy
1469,joy,joy
1470,love,love
1471,fear,fear
1472,joy,joy
1473,none,none
1474,sadness,sadness
1475,love,surprise
1476,joy,joy
1477,none,none
1478,sadness,none
1479,fear,love
1480,anger,anger
1481,fear,fear
1482,anger,anger
1483,love,sadness
1484,love,joy
1485,joy,love
1486,sadness,anger
1487,fear,fear
1488,love,love
1489,surprise,none
1490,none,none
1491,love,love
1492,surprise,surprise
1493,joy,joy
1494,none,none
1495,fear,fear
1496,joy,fear
1497,sadness,anger
1498,none,none
1499,sadness,sadness
1500,surprise,surprise
1501,joy,sympathy
1502,fear,fear
1503,love,sadness
1504,joy,joy
1505,anger,anger
1506,fear,fear
1507,joy,joy
1508,surprise,surprise
1509,surprise,surprise
